epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1490.74,2.37215,4.6947,2.32638,0.007,0.71008,0.04748,0.01525,2.3557,4.9303,2.37913,0.000666133,0.000666133,0.000666133
2,3010.34,2.18527,3.38829,2.17029,0.06736,0.23105,0.05255,0.01719,2.26851,4.94207,2.45331,0.00106891,0.00106891,0.00106891
3,1434.34,2.09302,3.20897,2.09054,0.0813,0.37454,0.07885,0.02554,2.16697,4.31973,2.22084,0.00120768,0.00120768,0.00120768
4,2889.28,2.00032,3.02586,2.02192,0.25253,0.20824,0.14826,0.05464,2.08864,3.26711,2.14245,0.000812,0.000812,0.000812
5,4340.77,1.94364,2.89952,1.97663,0.26319,0.24724,0.15323,0.0509,2.0438,3.45788,2.1997,0.000416,0.000416,0.000416



1,1600.28,1.90517,2.84987,1.95067,0.14245,0.19941,0.07946,0.0263,2.18587,6.11565,2.26269,0.000666133,0.000666133,0.000666133
2,1465.65,1.94116,2.91972,1.9988,0.1608,0.19352,0.10058,0.03211,2.20665,4.29963,2.28573,0.00106891,0.00106891,0.00106891
3,2970.92,1.9609,2.93687,2.00214,0.23592,0.16199,0.12187,0.04216,2.11116,3.3619,2.13831,0.00120768,0.00120768,0.00120768
4,4444.69,1.93098,2.8716,1.98055,0.17289,0.2833,0.11358,0.03943,1.99399,4.37935,2.15998,0.000812,0.000812,0.000812
5,5903.32,1.8784,2.78398,1.9394,0.29501,0.24062,0.20633,0.07311,1.97359,3.39747,2.0715,0.000416,0.000416,0.000416



1,1500.2,1.81851,2.70956,1.89399,0.18517,0.23767,0.12407,0.04363,2.09992,3.86407,2.1872,0.000666133,0.000666133,0.000666133
2,2940.27,1.90736,2.8372,1.95548,0.29922,0.25009,0.17962,0.06241,2.10121,3.28811,2.13351,0.00126683,0.00126683,0.00126683
