epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1434.27,1.71159,2.49482,1.80355,0.08787,0.0493,0.01875,0.00658,2.66914,5.68374,3.1323,0.00333067,0.00333067,0.00333067
2,2895.9,1.68974,2.42145,1.78432,0.21703,0.21854,0.1367,0.05043,2.19141,3.37777,2.26227,0.00653205,0.00653205,0.00653205
3,4335.51,1.72448,2.46986,1.80835,0.25595,0.23179,0.16396,0.05857,2.12571,3.72595,2.22808,0.00960144,0.00960144,0.00960144
4,5703.96,1.81071,2.58445,1.86628,0.19049,0.195,0.10891,0.04008,2.27448,3.71779,2.28754,0.009406,0.009406,0.009406
5,7132.82,1.80205,2.56755,1.85742,0.18181,0.19205,0.09884,0.03312,2.14755,3.95819,2.27196,0.009208,0.009208,0.009208
6,8570.5,1.82686,2.59607,1.87689,0.32148,0.24945,0.20179,0.06749,1.96133,3.90185,2.05644,0.00901,0.00901,0.00901
7,10053.6,1.82041,2.60382,1.86647,0.26147,0.16725,0.12221,0.04629,2.21186,3.87016,2.35607,0.008812,0.008812,0.008812
8,11535.1,1.83124,2.6133,1.87686,0.29003,0.25607,0.18026,0.06411,1.97818,3.26735,2.05663,0.008614,0.008614,0.008614
9,1426.79,1.76534,2.53573,1.8245,0.23995,0.19941,0.12412,0.0458,2.13775,3.90904,2.20809,0.008416,0.008416,0.008416
10,2891.91,1.74317,2.48444,1.81154,0.29216,0.27,0.20781,0.07564,2.02009,3.24322,2.07542,0.008218,0.008218,0.008218
11,4361.65,1.73293,2.47611,1.80548,0.3125,0.28771,0.22487,0.08257,2.02708,3.02928,2.0894,0.00802,0.00802,0.00802
12,5740.49,1.75612,2.50371,1.82574,0.30184,0.32892,0.2516,0.08904,1.99467,3.05321,2.06959,0.007822,0.007822,0.007822
13,7135.08,1.74575,2.48809,1.81905,0.31624,0.32082,0.23877,0.08618,1.91883,3.0518,2.02233,0.007624,0.007624,0.007624
14,8540.27,1.77408,2.51817,1.84256,0.30432,0.2752,0.21033,0.07298,1.99505,3.28585,2.07425,0.007426,0.007426,0.007426
15,1418.69,1.71426,2.46009,1.79365,0.3193,0.27815,0.21605,0.07446,2.03881,3.25068,2.07499,0.007228,0.007228,0.007228
16,2883.57,1.68985,2.40215,1.77817,0.31692,0.26343,0.21625,0.07763,2.00925,3.3068,2.09295,0.00703,0.00703,0.00703
17,4321.31,1.67889,2.39442,1.76961,0.30594,0.32818,0.25192,0.08965,2.03008,3.04309,2.09388,0.006832,0.006832,0.006832
18,5742.78,1.70044,2.42021,1.7866,0.32162,0.3142,0.2598,0.0917,2.01965,3.12908,2.09573,0.006634,0.006634,0.006634
19,7182.55,1.69484,2.40839,1.78209,0.31567,0.29654,0.2346,0.08609,1.96617,3.27531,2.06915,0.006436,0.006436,0.006436
20,8620.36,1.72115,2.44211,1.80127,0.31125,0.3026,0.23725,0.08266,1.96604,3.12895,2.0314,0.006238,0.006238,0.006238
21,10058.3,1.75425,2.50331,1.81443,0.35898,0.30684,0.26272,0.09437,1.96621,3.09365,2.00878,0.00604,0.00604,0.00604
22,11501.2,1.76371,2.51615,1.83162,0.33071,0.27233,0.23461,0.08257,1.97368,3.14935,2.04127,0.005842,0.005842,0.005842
23,12915.2,1.7814,2.54917,1.83578,0.29216,0.30243,0.23834,0.08598,1.92646,3.30357,2.00139,0.005644,0.005644,0.005644
24,1367.27,1.67124,2.39464,1.76517,0.3103,0.28698,0.23,0.08215,1.99667,3.16353,2.07397,0.005446,0.005446,0.005446
25,2709.54,1.64455,2.33871,1.75264,0.32487,0.28698,0.24142,0.08582,2.0123,3.12753,2.0817,0.005248,0.005248,0.005248
26,4086.26,1.63267,2.32083,1.73437,0.32534,0.31935,0.25876,0.09312,2.03785,2.99052,2.08969,0.00505,0.00505,0.00505
27,5417.34,1.65254,2.33638,1.75075,0.32434,0.32818,0.2572,0.09043,2.02648,3.14524,2.07621,0.004852,0.004852,0.004852
28,6811.36,1.64243,2.31285,1.74922,0.30991,0.30758,0.24657,0.08601,2.00251,3.14203,2.09025,0.004654,0.004654,0.004654
29,8243.64,1.66623,2.34541,1.76381,0.31023,0.30684,0.24089,0.08491,2.01247,3.13425,2.07031,0.004456,0.004456,0.004456
30,1427.23,1.61096,2.28288,1.72207,0.32786,0.29507,0.24118,0.08613,2.02298,3.10518,2.08584,0.004258,0.004258,0.004258
31,2884.4,1.58558,2.22114,1.70642,0.30435,0.30979,0.2464,0.08756,2.04545,3.1079,2.10848,0.00406,0.00406,0.00406
32,4333.44,1.5671,2.21175,1.69034,0.32113,0.29412,0.24531,0.08743,2.06473,3.07248,2.12703,0.003862,0.003862,0.003862
33,1435.33,1.52352,2.13268,1.66698,0.32999,0.2855,0.24066,0.08506,2.07729,3.12696,2.14998,0.003664,0.003664,0.003664
34,2882.68,1.50788,2.09086,1.65925,0.32008,0.29286,0.24271,0.08517,2.10434,3.12362,2.17266,0.003466,0.003466,0.003466
35,4326.98,1.53445,2.14587,1.67594,0.33157,0.30022,0.24329,0.08446,2.09671,3.12413,2.17071,0.003268,0.003268,0.003268
36,1362.92,1.43815,1.99071,1.61729,0.31705,0.28992,0.23652,0.08246,2.12526,3.15229,2.20676,0.00307,0.00307,0.00307
37,2752.06,1.45543,1.99062,1.62565,0.31876,0.29286,0.23916,0.08246,2.1528,3.1647,2.22855,0.002872,0.002872,0.002872
38,1377.79,1.37107,1.8727,1.57516,0.29708,0.30243,0.23263,0.08037,2.17654,3.19112,2.26178,0.002674,0.002674,0.002674
